"column","start","length"
"caseid",1,12
"pregordr",13,2
"howpreg_n",15,2
"howpreg_p",17,1
"moscurrp",18,1
"nowprgdk",19,1
"pregend1",20,1
"pregend2",21,1
"nbrnaliv",22,1
"multbrth",23,1
"cmotpreg",24,4
"prgoutcome",28,1
"cmprgend",29,4
"flgdkmo1",33,1
"cmprgbeg",34,4
"ageatend",38,2
"hpageend",40,2
"gestasun_m",42,2
"gestasun_w",44,2
"wksgest",46,2
"mosgest",48,2
"dk1gest",50,1
"dk2gest",51,1
"dk3gest",52,1
"bpa_bdscheck1",53,1
"bpa_bdscheck2",54,1
"bpa_bdscheck3",55,1
"babysex",56,1
"birthwgt_lb",57,2
"birthwgt_oz",59,2
"lobthwgt",61,1
"babysex2",62,1
"birthwgt_lb2",63,2
"birthwgt_oz2",65,2
"lobthwgt2",67,1
"babysex3",68,1
"birthwgt_lb3",69,2
"birthwgt_oz3",71,2
"lobthwgt3",73,1
"cmbabdob",74,4
"kidage",78,4
"hpagelb",82,2
"birthplc",84,1
"paybirth1",85,1
"paybirth2",86,1
"paybirth3",87,1
"knewpreg",88,2
"trimestr",90,1
"ltrimest",91,1
"priorsmk",92,1
"postsmks",93,1
"npostsmk",94,1
"getprena",95,1
"bgnprena",96,2
"pnctrim",98,1
"lpnctri",99,1
"workpreg",100,1
"workborn",101,1
"didwork",102,1
"matweeks",103,2
"weeksdk",105,1
"matleave",106,2
"matchfound",108,1
"livehere",109,1
"alivenow",110,1
"cmkidied",111,4
"cmkidlft",115,4
"lastage",119,3
"wherenow",122,1
"legagree",123,1
"parenend",124,1
"anynurse",125,1
"fedsolid",126,1
"frsteatd_n",127,3
"frsteatd_p",130,1
"frsteatd",131,3
"quitnurs",134,1
"ageqtnur_n",135,3
"ageqtnur_p",138,1
"ageqtnur",139,3
"matchfound2",142,1
"livehere2",143,1
"alivenow2",144,1
"cmkidied2",145,4
"cmkidlft2",149,4
"lastage2",153,3
"wherenow2",156,1
"legagree2",157,1
"parenend2",158,1
"anynurse2",159,1
"fedsolid2",160,1
"frsteatd_n2",161,2
"frsteatd_p2",163,1
"frsteatd2",164,2
"quitnurs2",166,1
"ageqtnur_n2",167,2
"ageqtnur_p2",169,1
"ageqtnur2",170,2
"matchfound3",172,1
"livehere3",173,1
"alivenow3",174,1
"cmkidied3",175,4
"cmkidlft3",179,4
"lastage3",183,3
"wherenow3",186,1
"legagree3",187,1
"parenend3",188,1
"anynurse3",189,1
"fedsolid3",190,1
"frsteatd_n3",191,1
"frsteatd_p3",192,1
"frsteatd3",193,1
"quitnurs3",194,1
"ageqtnur_n3",195,1
"ageqtnur_p3",196,1
"ageqtnur3",197,1
"cmlastlb",198,4
"cmfstprg",202,4
"cmlstprg",206,4
"cmintstr",210,4
"cmintfin",214,4
"cmintstrop",218,4
"cmintfinop",222,4
"cmintstrcr",226,4
"cmintfincr",230,4
"evuseint",234,1
"stopduse",235,1
"whystopd",236,1
"whatmeth01",237,2
"whatmeth02",239,2
"whatmeth03",241,2
"whatmeth04",243,2
"resnouse",245,1
"wantbold",246,1
"probbabe",247,1
"cnfrmno",248,1
"wantbld2",249,1
"timingok",250,1
"toosoon_n",251,3
"toosoon_p",254,1
"wthpart1",255,1
"wthpart2",256,1
"feelinpg",257,2
"hpwnold",259,1
"timokhp",260,1
"cohpbeg",261,1
"cohpend",262,1
"tellfath",263,1
"whentell",264,1
"tryscale",265,2
"wantscal",267,2
"whyprg1",269,1
"whyprg2",270,1
"whynouse1",271,1
"whynouse2",272,1
"whynouse3",273,1
"anyusint",274,1
"prglngth",275,2
"outcome",277,1
"birthord",278,2
"datend",280,4
"agepreg",284,4
"datecon",288,4
"agecon",292,4
"fmarout5",296,1
"pmarpreg",297,1
"rmarout6",298,1
"fmarcon5",299,1
"learnprg",300,2
"pncarewk",302,2
"paydeliv",304,1
"lbw1",305,1
"bfeedwks",306,3
"maternlv",309,1
"oldwantr",310,1
"oldwantp",311,1
"wantresp",312,1
"wantpart",313,1
"cmbirth",314,4
"ager",318,2
"agescrn",320,2
"fmarital",322,1
"rmarital",323,1
"educat",324,2
"hieduc",326,2
"race",328,1
"hispanic",329,1
"hisprace",330,1
"rcurpreg",331,1
"pregnum",332,2
"parity",334,2
"insuranc",336,1
"pubassis",337,1
"poverty",338,3
"laborfor",341,1
"religion",342,1
"metro",343,1
"brnout",344,1
"yrstrus",345,4
"prglngth_i",349,1
"outcome_i",350,1
"birthord_i",351,1
"datend_i",352,1
"agepreg_i",353,1
"datecon_i",354,1
"agecon_i",355,1
"fmarout5_i",356,1
"pmarpreg_i",357,1
"rmarout6_i",358,1
"fmarcon5_i",359,1
"learnprg_i",360,1
"pncarewk_i",361,1
"paydeliv_i",362,1
"lbw1_i",363,1
"bfeedwks_i",364,1
"maternlv_i",365,1
"oldwantr_i",366,1
"oldwantp_i",367,1
"wantresp_i",368,1
"wantpart_i",369,1
"ager_i",370,1
"fmarital_i",371,1
"rmarital_i",372,1
"educat_i",373,1
"hieduc_i",374,1
"race_i",375,1
"hispanic_i",376,1
"hisprace_i",377,1
"rcurpreg_i",378,1
"pregnum_i",379,1
"parity_i",380,1
"insuranc_i",381,1
"pubassis_i",382,1
"poverty_i",383,1
"laborfor_i",384,1
"religion_i",385,1
"metro_i",386,1
"basewgt",387,18
"adj_mod_basewgt",405,18
"finalwgt",423,18
"secu_p",441,1
"sest",442,2
"cmintvw",444,4
